EM4_COURSE_ID,EM4_LESSON_ID
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,JX9PP8TN9HEV2ZPNTO1PRNYXX1
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,E1D16YRQRGL9JHJC8JNGYFM21Q
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,OB4VKR2SM78VJR1OEFWW8XBTG1
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,8QGQR4N8E52VPZZSDE56T21XCY
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,EJNB2QT1XSDLNLYDB5PP7SQ4H1
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,OCJTX9BO9HPE89YLRPYJTCQWTO
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,C8N5T2KCNKRO87ZHODNYF4G9GY
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,PXZD9XS1VWL1EBV54JLG1GJTSM
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,HSMRX6S566OQPT6ST8OE8BCD58
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,5LDKTMLK3449JGTOP4CCLZKECO
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,YZKC76SHOLNQX1J42RJE5B3LDO
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,PE1YMVMKF4N73GG2NHSM98567E
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,L4794GP2WNV8FDM4G9PZ48J5MQ
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,O7LQ4R1BV9VKCDG49OZY9OC68M
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,7DXQ6ZVW45ZQTK5HWCQQNN7CBQ
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,8WCLRRONDG1D263C7HKCXMKF9Y
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,N88944699RZQTMROB9DTBLVJ6O
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,VVKJNC7KHG18SDMXY1LLG8Z6EQ
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,9XOTFFSRJOGRC1JL6DMW2FJXBY
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,LOLKZOWZR6DBFFBR8TM6FBP2B8
WKFLPQPK563VPDFY6V1FMBXSYE,MLEH3RM3Q5DGGFF7DJNQN4KQHQ
WKFLPQPK563VPDFY6V1FMBXSYE,S5DNWBKSGYY1JGFYQ68L3W6Z5M
WKFLPQPK563VPDFY6V1FMBXSYE,V3JROP2XYOG1P11PTPL26WJDFQ
WKFLPQPK563VPDFY6V1FMBXSYE,PS3XK64NYCY8VLSZ7WQEEWE9N4
WKFLPQPK563VPDFY6V1FMBXSYE,53CZEFOZ8TFLY8SO6EGFT9MRR1
WKFLPQPK563VPDFY6V1FMBXSYE,QZONW9LZPRB7BX55JZYVNBVCS4
WKFLPQPK563VPDFY6V1FMBXSYE,4V6CCP2FBL6VTXCRN2YR8SJEOE
WKFLPQPK563VPDFY6V1FMBXSYE,JJY91C25TFCCOQ93TNRYYBE4M1
WKFLPQPK563VPDFY6V1FMBXSYE,Y775SBGYEPYCVJQL7DS62YGSZE
WKFLPQPK563VPDFY6V1FMBXSYE,X5M68GPM8XTBV9QHWP3XXOM5MO
WKFLPQPK563VPDFY6V1FMBXSYE,BDB9WXTGTN94HK3CZB5PJF79HO
WKFLPQPK563VPDFY6V1FMBXSYE,QLGLW7L8NBZLMTNCNGJFB1HDSQ
WKFLPQPK563VPDFY6V1FMBXSYE,WBYZD6JFB1MS626VGVTNP3GW84
WKFLPQPK563VPDFY6V1FMBXSYE,EPM1SZSP2M7QLCV9Q27WN6T638
WKFLPQPK563VPDFY6V1FMBXSYE,98Q5EK5FOT5YDZX9T531FBYTCE
WKFLPQPK563VPDFY6V1FMBXSYE,KNGSBGZCGMGKEXWBCNC8CDV3DE
WKFLPQPK563VPDFY6V1FMBXSYE,HVE9RMMB8QDHEFJ7WJWGMY6FR8
WKFLPQPK563VPDFY6V1FMBXSYE,J6CF3V5BMREW8PYH42ZEH8MQBM
WKFLPQPK563VPDFY6V1FMBXSYE,ORM7YB232ZLEKEX9Z3BGKXBE3M
WKFLPQPK563VPDFY6V1FMBXSYE,3WRVK41BNBE9W6J4XKXB8ZDME4
WKFLPQPK563VPDFY6V1FMBXSYE,QOBB4ZER9RJ7RSFYPFWO53356E
ZCN2VELSKGXON6Q8Y7KXEKXJT8,WTTK1CDP1YOMC619KQQ4J9R1XY
ZCN2VELSKGXON6Q8Y7KXEKXJT8,7D341F43PXNS839PGFFR1EEM1Y
ZCN2VELSKGXON6Q8Y7KXEKXJT8,TYWJG579RFXNSMGL6F5ZND1G2M
ZCN2VELSKGXON6Q8Y7KXEKXJT8,14T168NXN8F2HY8M7KMT3D4LTE
ZCN2VELSKGXON6Q8Y7KXEKXJT8,VNVV88VHH6W3CE6MLM177N116O
ZCN2VELSKGXON6Q8Y7KXEKXJT8,8J37TO5T9YQJZJXQC7KN37DJME
ZCN2VELSKGXON6Q8Y7KXEKXJT8,FNKYFJSERPT183DHSEKREJKZ11
ZCN2VELSKGXON6Q8Y7KXEKXJT8,V5CFFCMM573SC7PT6NPLL7NT8E
ZCN2VELSKGXON6Q8Y7KXEKXJT8,LONX72OE9528X7XSQWMYT4F1LM
ZCN2VELSKGXON6Q8Y7KXEKXJT8,YVZYEDG29O4ZMNZXQ2N1EWTWO1
ZCN2VELSKGXON6Q8Y7KXEKXJT8,YCSWGVRFZR8YGYVG1FBGO4X1PQ
ZCN2VELSKGXON6Q8Y7KXEKXJT8,GHN14YRZWHVDNMYSJ824CH9JQQ
ZCN2VELSKGXON6Q8Y7KXEKXJT8,NLB2H66Z8V153Y54TRP1M16LFM
ZCN2VELSKGXON6Q8Y7KXEKXJT8,HPL8FPQNB5ELXOMW135FLYPQTM
ZCN2VELSKGXON6Q8Y7KXEKXJT8,SNBD4ZDTBWQ4DX4EKLEJE6QST4
ZCN2VELSKGXON6Q8Y7KXEKXJT8,SFZ76JXZ28S1DYDWERWVKEJDEM
ZCN2VELSKGXON6Q8Y7KXEKXJT8,ZKNJLHVCQH4FRKFPEDEJ1BJOT8
ZCN2VELSKGXON6Q8Y7KXEKXJT8,9LEJ87Y7FDRZDJN3SWN4CQVVXO
ZCN2VELSKGXON6Q8Y7KXEKXJT8,NDYX67HGJBH11JGJTOD1B1OBK1
ZCN2VELSKGXON6Q8Y7KXEKXJT8,CV11OC4XV6PWCPJ9JK617CK711
ZCN2VELSKGXON6Q8Y7KXEKXJT8,7DDXMJ5GY6S7PX4R3L5ZEH7T74
M3BLX4K2Z67TOMTFGD4F7EPZNO,N744H9KN55N73TR49QGJFKDBOE
M3BLX4K2Z67TOMTFGD4F7EPZNO,72COFY68DHP5C3HNNOSMSNYVQ4
M3BLX4K2Z67TOMTFGD4F7EPZNO,SXOKXOKOPPEWOQW1H482NYNCFQ
M3BLX4K2Z67TOMTFGD4F7EPZNO,P4LD4KOV161ETF9WJR1P3YJ658
M3BLX4K2Z67TOMTFGD4F7EPZNO,YC24JSN2ROWTOTMZD4E1ZGC8MO
M3BLX4K2Z67TOMTFGD4F7EPZNO,HO2HXW33FF4KS86QHDXJML2898
M3BLX4K2Z67TOMTFGD4F7EPZNO,FORW3WKHDPWPMQWM7XY39J9HCM
M3BLX4K2Z67TOMTFGD4F7EPZNO,8HGFDV7EVKJDKHMN775NB69811
M3BLX4K2Z67TOMTFGD4F7EPZNO,PEG6VH71R5DDFQ1WK726B7Y73Q
M3BLX4K2Z67TOMTFGD4F7EPZNO,EOJQ3DT6MZNHOM8ZPSWJXDZ2LO
M3BLX4K2Z67TOMTFGD4F7EPZNO,845EH32G8NNJOO7SYZ59KXJX5M
M3BLX4K2Z67TOMTFGD4F7EPZNO,LGEKGYEJOZ4FT9BM1BQKSSE271
M3BLX4K2Z67TOMTFGD4F7EPZNO,51EY4D2C1O3ZGX4ZCEDM1BVC78
M3BLX4K2Z67TOMTFGD4F7EPZNO,VGG3QTRDGQK9ELYP5POE6NMZCE
M3BLX4K2Z67TOMTFGD4F7EPZNO,RRD2JO34S9SC6TYFBN4TFQHTVE
M3BLX4K2Z67TOMTFGD4F7EPZNO,54PSXVG1KBHVJLL89LP8EOMFS8
M3BLX4K2Z67TOMTFGD4F7EPZNO,Z4F5RR922XK1SHX41O22MVZT48
M3BLX4K2Z67TOMTFGD4F7EPZNO,D14JBNWG66Q22R7YW9HGCTZDWQ
M3BLX4K2Z67TOMTFGD4F7EPZNO,ZWHV4Q7TT6Q81XBR5BWHEPC798
M3BLX4K2Z67TOMTFGD4F7EPZNO,T6S4NT62TL1JOP954QPC7VRXQ4
M3BLX4K2Z67TOMTFGD4F7EPZNO,1QR4FGBXE5ZDMVQX53XH2KBK7E
1W3VPWRMFN3T2YR734EBL4C7C4,VV3ETEXXB5XZ5H4ERHKNQCVGYQ
1W3VPWRMFN3T2YR734EBL4C7C4,K4PBY3GSOEV6O4WMECCEL12BR8
1W3VPWRMFN3T2YR734EBL4C7C4,JCRX7ZQM51YKONLOR6LE8N4BBM
1W3VPWRMFN3T2YR734EBL4C7C4,ZXCEOXYRQWF9GKZ79YOXOK53TM
1W3VPWRMFN3T2YR734EBL4C7C4,TRDZ936T74GBCKGZ5YQCO268V4
1W3VPWRMFN3T2YR734EBL4C7C4,JCC2NV69J646RGKWPWRJD19H4Y
1W3VPWRMFN3T2YR734EBL4C7C4,C3C17W2HKGHMGRPZQFQL52D2LE
1W3VPWRMFN3T2YR734EBL4C7C4,5KGFF6DGZJE37M7LBK3R8EOFOM
1W3VPWRMFN3T2YR734EBL4C7C4,C91YMP4QXOKQTC3Z5JP7ZSBEPY
1W3VPWRMFN3T2YR734EBL4C7C4,78P6YHT6CTSR52S2N2NY2SDR44
1W3VPWRMFN3T2YR734EBL4C7C4,EFYXP262J8Z7GEHNJFY7LTR2H4
1W3VPWRMFN3T2YR734EBL4C7C4,7QMTZNYW9S4G9Y1Z4HJQ7N4PH4
1W3VPWRMFN3T2YR734EBL4C7C4,YGL9M9E136SPXXQT7TC5R57YE1
1W3VPWRMFN3T2YR734EBL4C7C4,49W4TLF2E9JB2S2CNKBT8DTVLM
1W3VPWRMFN3T2YR734EBL4C7C4,HOXXHJ8SR6SOXZE6RB8RSSY5QY
1W3VPWRMFN3T2YR734EBL4C7C4,2JTL77YW1WB6FTLJXO9EJ5JWN1
1W3VPWRMFN3T2YR734EBL4C7C4,YCHQ8G8JRBKF311YGZXQB2ZY5O
1W3VPWRMFN3T2YR734EBL4C7C4,XJGCOXZC2RPD3DSXJOSJVZVNT1
1W3VPWRMFN3T2YR734EBL4C7C4,S5WPR678H4SO9DBW7SSGXERTMO
1W3VPWRMFN3T2YR734EBL4C7C4,ZQ2LWH96TC7OX9VJ61GC7RDJQQ
1W3VPWRMFN3T2YR734EBL4C7C4,FS3HB3TNQGB3TSDRFS9Q5DVL31
ZHOHOJJOMLXRYBGKCW9PYDWDNM,4EMEQCF3JXOOWRJOPCM35VFOYM
ZHOHOJJOMLXRYBGKCW9PYDWDNM,JSBNRDGB2GGK1PLFPXCS3SF8EO
ZHOHOJJOMLXRYBGKCW9PYDWDNM,X2Y3LDN22Z52BFRMYKOEQMTVTM
ZHOHOJJOMLXRYBGKCW9PYDWDNM,J8QXVDX9C4NDWBD423XHQMCRNQ
ZHOHOJJOMLXRYBGKCW9PYDWDNM,O8GZL7YE6PVCF1MCGBYDMVEDL8
ZHOHOJJOMLXRYBGKCW9PYDWDNM,27P6B4MKWY6BX7QCWFJ6JTGE44
ZHOHOJJOMLXRYBGKCW9PYDWDNM,PQ4N1ZWRJ4M7GG63XO5RLFV7OO
ZHOHOJJOMLXRYBGKCW9PYDWDNM,955H7GYRB52ZBHXOZHXWG753R4
ZHOHOJJOMLXRYBGKCW9PYDWDNM,C5XD3TMFSXHMWL3CN29Y2KQ25Y
ZHOHOJJOMLXRYBGKCW9PYDWDNM,5V1W14C65H7JL29C2GQETGC1N4
ZHOHOJJOMLXRYBGKCW9PYDWDNM,SHYQWZSNXQJG4TR7G61Z11RQOY
ZHOHOJJOMLXRYBGKCW9PYDWDNM,NYWFQ18TOLLK4Z6B7WORS9LZB1
ZHOHOJJOMLXRYBGKCW9PYDWDNM,9CK4ZFGYHXRGENKRV16JOR9Z91
ZHOHOJJOMLXRYBGKCW9PYDWDNM,648JFQBRZ8RKO19M5PFX4CKTL1
ZHOHOJJOMLXRYBGKCW9PYDWDNM,3FQOJJH2JJKSWPLD9CQN21DDH8
ZHOHOJJOMLXRYBGKCW9PYDWDNM,J1JHL3WO1HB1VNQJJE8DRLPM5Q
ZHOHOJJOMLXRYBGKCW9PYDWDNM,D44SWB659D6CY6LVLTC98J9GN8
ZHOHOJJOMLXRYBGKCW9PYDWDNM,LBCW7Y3898T7XOJZ6C4EK5G76Q
ZHOHOJJOMLXRYBGKCW9PYDWDNM,E9K4DDEC8226NLY5QQO9Q5QW8Q
ZHOHOJJOMLXRYBGKCW9PYDWDNM,3EFQNGS7EGPXRNBN42K1TFZM1E
ZHOHOJJOMLXRYBGKCW9PYDWDNM,VN7SNRZHZKD1BLCEODNRFY7F7Y
NVTZGTCXPB4NPRHZWHE1252HS1,MTL6H7JPKKHZBCJNOWEW5OY9HE
XZTS43YGPTXHQ4HCQ82YPZEMMQ,6EPFVQP3SV7OFQ98L7FZV23HY4
XZTS43YGPTXHQ4HCQ82YPZEMMQ,J9KOOENQ84CLM8LM5G795LF9HM
XZTS43YGPTXHQ4HCQ82YPZEMMQ,Z8TLEFL1E573VCXGNTSRMNNBM4
XZTS43YGPTXHQ4HCQ82YPZEMMQ,QXJP7ERQL9Q4M4ZYOLEWQ5MP14
XZTS43YGPTXHQ4HCQ82YPZEMMQ,K4LL88LGXNN1CB2V799PZKW7J1
XZTS43YGPTXHQ4HCQ82YPZEMMQ,2G6J86GN22MORVRTM15HXCXYQE
XZTS43YGPTXHQ4HCQ82YPZEMMQ,LHHVSZ5MPVY87O5SMLY3EVXZ6E
XZTS43YGPTXHQ4HCQ82YPZEMMQ,84KYLCWOVS9J837176VJQOBCDQ
XZTS43YGPTXHQ4HCQ82YPZEMMQ,7SL2C6RZ3WRLOZYF98Z87GYJBY
XZTS43YGPTXHQ4HCQ82YPZEMMQ,FF8LWR7ST6SK6D8GHM3NBO7YYQ
XZTS43YGPTXHQ4HCQ82YPZEMMQ,Z9ZMO7MNWC3RFGDJ54LE5WS864
XZTS43YGPTXHQ4HCQ82YPZEMMQ,WODR4915T98Z1D8F6GNV14B17E
XZTS43YGPTXHQ4HCQ82YPZEMMQ,1861OTTF9586OWX5OBKXWXGPM1
XZTS43YGPTXHQ4HCQ82YPZEMMQ,CT6ZYMP49M3BKEEPFR18LEHOWY
XZTS43YGPTXHQ4HCQ82YPZEMMQ,75HZ4EJWJ1XGDJZGFHWOX6F24M
XZTS43YGPTXHQ4HCQ82YPZEMMQ,59JQBQTRZPTXQ1ZJMDOCPPF48Q
