TODAY,FROM_DATE,TO_DATE,DUE_DATE,EXPIRE_DATE,ADD_CURRICULUM_START_DATE,ASSGNMNT_START_DATE,ASSGNMNT_DUE_DATE,ASSGNMNT_EXP_DATE,PUSH_DATE1,PUSH_DATE2,PULL_DATE1,PULL_DATE2,CREATEEVENT_DATE1,CREATEEVENT_DATE2,MUSICEVENT_DAY1,MUSICEVENT_DAY2,MUSICEVENT_DAY3,MUSICEVENT_DAY4,MUSICEVENT_DAY5,MUSICEVENT_DAY6,MUSICEVENT_DAY7,ENDOF_NEXT_YEAR,SATURDAY_DATES,LAST_SATURDAY_DATE
07/30/2015,2014-07-01,2015-08-05,1/13/2015,1/15/2015,2015-08-17,2014-11-14,2014-12-14,2014-12-24,2015-01-21,2015-01-22,1/18/2015,1/19/2015,2014-06-27,2014-06-28,2014-06-26,2014-06-27,2014-06-28,2014-06-29,2014-06-30,2014-07-01,2014-07-02,2016-12-31,2015-01-03,2015-12-26
07/30/2015,2014-07-01,2015-08-05,1/13/2015,1/15/2015,2015-08-17,11/14/2014,12/14/2014,12/24/2014,2015-01-21,2015-01-22,1/18/2015,1/19/2015,2014-06-27,2014-06-28,2014-06-26,2014-06-27,2014-06-28,2014-06-29,2014-06-30,2014-07-01,2014-07-02,2016-12-31,2015-01-10,2015-12-26
07/30/2015,2014-07-01,2015-08-05,1/13/2015,1/15/2015,2015-08-17,11/14/2014,12/14/2014,12/24/2014,2015-01-21,2015-01-22,1/18/2015,1/19/2015,2014-06-27,2014-06-28,2014-06-26,2014-06-27,2014-06-28,2014-06-29,2014-06-30,2014-07-01,2014-07-02,2016-12-31,2015-01-17,2015-12-26
07/30/2015,2014-07-01,2015-08-05,1/13/2015,1/15/2015,2015-08-17,11/14/2014,12/14/2014,12/24/2014,2015-01-21,2015-01-22,1/18/2015,1/19/2015,2014-06-27,2014-06-28,2014-06-26,2014-06-27,2014-06-28,2014-06-29,2014-06-30,2014-07-01,2014-07-02,2016-12-31,2015-01-24,2015-12-26
07/30/2015,2014-07-01,2015-08-05,1/13/2015,1/15/2015,2015-08-17,11/14/2014,12/14/2014,12/24/2014,2015-01-21,2015-01-22,1/18/2015,1/19/2015,2014-06-27,2014-06-28,2014-06-26,2014-06-27,2014-06-28,2014-06-29,2014-06-30,2014-07-01,2014-07-02,2016-12-31,2015-01-31,2015-12-26
07/30/2015,2014-07-01,2015-08-05,1/13/2015,1/15/2015,2015-08-17,11/14/2014,12/14/2014,12/24/2014,2015-01-21,2015-01-22,1/18/2015,1/19/2015,2014-06-27,2014-06-28,2014-06-26,2014-06-27,2014-06-28,2014-06-29,2014-06-30,2014-07-01,2014-07-02,2016-12-31,2015-02-07,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,2015-08-17,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,2014-06-27,2014-06-28,2014-06-26,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,2014-07-02,2016-12-31,2015-02-14,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,2015-08-17,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,2014-06-27,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-02-21,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,2015-08-17,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,2014-06-27,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-02-28,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,2015-08-17,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,2014-06-27,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-03-07,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,2014-06-27,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-03-14,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,2014-06-27,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-03-21,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-03-28,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-04-04,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-04-11,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-04-18,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-04-25,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-05-02,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-05-09,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-05-16,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-05-23,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-05-30,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-06-06,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-06-13,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-06-20,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-06-27,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-07-04,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-07-11,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-07-18,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-07-25,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-08-01,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-08-08,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-08-15,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-08-22,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-08-29,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-09-05,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-09-12,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-09-19,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-09-26,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-10-03,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-10-10,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-10-17,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-10-24,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-10-31,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-11-07,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-11-14,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-11-21,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-11-28,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-12-05,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-12-12,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-12-19,2015-12-26
5/6/2015,7/1/2014,8/5/2015,1/13/2015,1/15/2015,8/17/2015,11/14/2014,12/14/2014,12/24/2014,1/21/2015,1/22/2015,1/18/2015,1/19/2015,6/27/2014,6/28/2014,6/26/2014,6/27/2014,6/28/2014,6/29/2014,6/30/2014,7/1/2014,7/2/2014,2016-12-31,2015-12-26,2015-12-26
