EM4_COURSE_ID,EM4_ACTIVITY_ID
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,82OM8G67BMH5ZPRQ6Z4546TYW4
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,GNOLZPNCKBLZ12K5RGDSYW2V88
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,P32FP8169HD66YGSZHEHJK1EK1
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,KZMME5PTLLFZ6TC2JWC1V8XK5Y
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,ZKW6S3J892QNRVYSZZW1P1WC9M
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,BZ1BG2DT57X3G98XHDJV5JLTX8
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,3NB3G7VV31LL6JW5OLRK5YOCVQ
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,2EW8LZS8SN1XGNYY6RVOX96K98
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,BXO8LYTZFM3OLR78YMYNRDJPY1
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,Z3YFH9X6FYO3SYZE49DST48G3M
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,HT75MWDL2QMGVS7M7R8EB59JPY
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,43CV9BJRCXV57P3SY56W24YOJE
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,6EXDJ8DDKPFWM7CY7QC1LJWP1E
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,SGT6XJW1884ODZSGMVBJPKTWGM
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,71FDHE8OJTFFJ632Z65KZ9SCX4
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,6JG2QK5RRJ8KE4MMQTTDB9SY2M
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,1ETX7X5EBKFF47LHSSW847QWM1
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,TCZG1RVJSP1PRDHH2CCY986ODM
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,QBGTCKCJ5XOMLOWJVFRNDBZ8YY
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,GJLNGKLH4W1FXCFN6B9JN9J9R1
WKFLPQPK563VPDFY6V1FMBXSYE,ZDP4TRKVPMK6OYHZS2LXOVX7RM
WKFLPQPK563VPDFY6V1FMBXSYE,KMP8PJXX5Z4B3NC984PFLO7W4M
WKFLPQPK563VPDFY6V1FMBXSYE,JJ55BV6W82455YREFTGPQEGJ3Q
WKFLPQPK563VPDFY6V1FMBXSYE,5JJSHBPCW3MYGTZ5C9262MNE1E
WKFLPQPK563VPDFY6V1FMBXSYE,BFNNNPBKDX5CCYG5WCGFPJLBTY
WKFLPQPK563VPDFY6V1FMBXSYE,7X5ZYJ5CLK84VGNNZBJYLVN2XQ
WKFLPQPK563VPDFY6V1FMBXSYE,H1GE8VYX7F8VB5B6VER2EOPDW8
WKFLPQPK563VPDFY6V1FMBXSYE,XK74FHWQM1ZKQ53WGZEZLHTYEO
WKFLPQPK563VPDFY6V1FMBXSYE,GRFLOYXG5LTY1Z7CMZM62CCKP1
WKFLPQPK563VPDFY6V1FMBXSYE,F5816REKGQXYWYZG866P2EZ3L4
WKFLPQPK563VPDFY6V1FMBXSYE,HG9BE32RSNG985TQM3P7FDY5E8
WKFLPQPK563VPDFY6V1FMBXSYE,2Q47PHPP1LDKERYMPTD8J9HWQM
WKFLPQPK563VPDFY6V1FMBXSYE,9F192VWNTP2SQWH54SJM4RQJY8
WKFLPQPK563VPDFY6V1FMBXSYE,M2PNQZZ9DTMRC9S6GWZYPT1191
WKFLPQPK563VPDFY6V1FMBXSYE,FKQHCY1QTVQMT16J7OPYR825LQ
WKFLPQPK563VPDFY6V1FMBXSYE,VYYT25RVNY8KJGZP3S843H9EXQ
WKFLPQPK563VPDFY6V1FMBXSYE,YE7MY9277VW3DWND95ZY8BCVQ1
WKFLPQPK563VPDFY6V1FMBXSYE,575CTXWRBJE3VYK4LTO6J9WJK1
WKFLPQPK563VPDFY6V1FMBXSYE,E5M277CG9M4J7GSLY5LKV7Y471
WKFLPQPK563VPDFY6V1FMBXSYE,WO67WE6Y2EEBC8YF16CMYOFHPO
ZCN2VELSKGXON6Q8Y7KXEKXJT8,VHCKQD3M52S8QLO5NYH98S6MHM
ZCN2VELSKGXON6Q8Y7KXEKXJT8,MPB6OJPY8N8CW5QLWRVLY3V2LM
ZCN2VELSKGXON6Q8Y7KXEKXJT8,ZGSL1VJQOQK87DDM35O74NSP3Q
ZCN2VELSKGXON6Q8Y7KXEKXJT8,SOBSSYSOQYQ6CGMH1COSBK2B91
ZCN2VELSKGXON6Q8Y7KXEKXJT8,C8E879TV599LPTJHEHV9VH2TRY
ZCN2VELSKGXON6Q8Y7KXEKXJT8,OM74S862KEC59OBK8GL73D1P84
ZCN2VELSKGXON6Q8Y7KXEKXJT8,XG2JGTBTRP7HSDQVBXRKF84WZM
ZCN2VELSKGXON6Q8Y7KXEKXJT8,7SX4Q4RRXZBEKLTGNX3XFVHLJO
ZCN2VELSKGXON6Q8Y7KXEKXJT8,NPVRPKDB4JGNBYTRN931EHTLSY
ZCN2VELSKGXON6Q8Y7KXEKXJT8,9BF9DZ7JFM6EL1OYE9JX4VJ8PM
ZCN2VELSKGXON6Q8Y7KXEKXJT8,O4QT31PDDNCTBL7RWTG83VT4H1
ZCN2VELSKGXON6Q8Y7KXEKXJT8,SPJWJD34BN7DKQZWFQGJHO9GTO
ZCN2VELSKGXON6Q8Y7KXEKXJT8,EZDWT4GDGOMP3TNOYPDHJ8WXO4
ZCN2VELSKGXON6Q8Y7KXEKXJT8,K3CPR3K62R6CRXYEKTYBF6FVPY
ZCN2VELSKGXON6Q8Y7KXEKXJT8,GG286Z43QRX1942W34P2JPW7M4
ZCN2VELSKGXON6Q8Y7KXEKXJT8,EW5DJC9DRK2LR9O25K8D9XWCYQ
ZCN2VELSKGXON6Q8Y7KXEKXJT8,647F9WPQNPWDMX7O274TP9KR9Y
ZCN2VELSKGXON6Q8Y7KXEKXJT8,1MJ13ELVN33MCO6DF473LXSWWQ
ZCN2VELSKGXON6Q8Y7KXEKXJT8,G1NDY2L71M8DPJ133BDS3YJHP4
ZCN2VELSKGXON6Q8Y7KXEKXJT8,EWTHTBNSQGKPWWL47B1OP28Y31
M3BLX4K2Z67TOMTFGD4F7EPZNO,ZQC5PKKJ81SWBXQVYH6PJ2HM9O
M3BLX4K2Z67TOMTFGD4F7EPZNO,BNJFLY3N5QVKL2Y1V8E5WOL19Y
M3BLX4K2Z67TOMTFGD4F7EPZNO,4W9DWSOEVD65O2SLM1D5L1P72M
M3BLX4K2Z67TOMTFGD4F7EPZNO,GS6J1E2Y7G8P2JHX1NKJVBCT8M
M3BLX4K2Z67TOMTFGD4F7EPZNO,4OYXR5GPWN7O24DBYX41EJ44BM
M3BLX4K2Z67TOMTFGD4F7EPZNO,3WS4R2MPVLVGQLK7R5ZQFYSVB8
M3BLX4K2Z67TOMTFGD4F7EPZNO,95FGTO2QC473SFJ1SDNH5YXZT8
M3BLX4K2Z67TOMTFGD4F7EPZNO,QPK69957CLHFSR2NB58LMW5EP4
M3BLX4K2Z67TOMTFGD4F7EPZNO,LBOO8J16MYSNMQQ9NL48P1O324
M3BLX4K2Z67TOMTFGD4F7EPZNO,WG93QV18BEHPVF675BHDDPPC71
M3BLX4K2Z67TOMTFGD4F7EPZNO,K4JZFKSVPS92HROPRHBXL3QG1M
M3BLX4K2Z67TOMTFGD4F7EPZNO,SBEYBOHMCWO2PJ4CM2BVOBWCPQ
M3BLX4K2Z67TOMTFGD4F7EPZNO,5K17MNKYJHTJN4MKSTMX8SFKV8
M3BLX4K2Z67TOMTFGD4F7EPZNO,2BV623JH3KEWERP8LJ9P69L12O
M3BLX4K2Z67TOMTFGD4F7EPZNO,W2LMEPGTGM1ORVQ89XMH34D5PQ
M3BLX4K2Z67TOMTFGD4F7EPZNO,9S3FJP81GWRWENBNEO53P4NCCY
M3BLX4K2Z67TOMTFGD4F7EPZNO,CNTCCJ7LE47DPS5HB3E7VCLPXE
M3BLX4K2Z67TOMTFGD4F7EPZNO,M24HNY91845FS2JT1TR7X8SVY8
M3BLX4K2Z67TOMTFGD4F7EPZNO,ZGTGCY2DW9L622W2XGJMZYY9EE
M3BLX4K2Z67TOMTFGD4F7EPZNO,QHDESJJXGGX6HF93DCM2ZEQZC8
1W3VPWRMFN3T2YR734EBL4C7C4,2N8LF1SNK5MBOTRKHE8ETRD5Q1
1W3VPWRMFN3T2YR734EBL4C7C4,14OJPDL8Q69M2FCTD8KOV9EMQO
1W3VPWRMFN3T2YR734EBL4C7C4,13NXNWZE381MFH3GNKKCYVOLTQ
1W3VPWRMFN3T2YR734EBL4C7C4,TE31539QH5RL4V1XSPSDHZ8TG8
1W3VPWRMFN3T2YR734EBL4C7C4,VEM8DNDBN5B3GC4DOT2KRJLJFQ
1W3VPWRMFN3T2YR734EBL4C7C4,QK3GGQZ6F2WFOGPQ6XQX66XJYM
1W3VPWRMFN3T2YR734EBL4C7C4,WYZB22OWK5S6QFNKHTNQDGYNLY
1W3VPWRMFN3T2YR734EBL4C7C4,MBENXLD68OLP2WSBCMMBYM1838
1W3VPWRMFN3T2YR734EBL4C7C4,1SM11WOR9NKZ7BT8LGFD4FYVBY
1W3VPWRMFN3T2YR734EBL4C7C4,4LGHZDST16RZQVXPOXTLOEDVG8
1W3VPWRMFN3T2YR734EBL4C7C4,Y4Z56JN2B8J8BP153RTS5965WE
1W3VPWRMFN3T2YR734EBL4C7C4,EMOPEJEJDQKMHJPFCV4N9OQ83O
1W3VPWRMFN3T2YR734EBL4C7C4,LBS8WSBX81DBZCMG5LTEOGYDHE
1W3VPWRMFN3T2YR734EBL4C7C4,H46J1ERTM4ONH51323FW1BFNPY
1W3VPWRMFN3T2YR734EBL4C7C4,1RM9L6MP4JDF5X245YSE19ZKFE
1W3VPWRMFN3T2YR734EBL4C7C4,NPP1LQT34M37XSVJ1HPOPYNNYM
1W3VPWRMFN3T2YR734EBL4C7C4,SEG62G1SLJQN4JBWHD7SO64GQY
1W3VPWRMFN3T2YR734EBL4C7C4,CSVL14WCOJJZX7ZD6PBT1HREBY
1W3VPWRMFN3T2YR734EBL4C7C4,N4XTCM8EGNCTVDJFLPKRKJE67M
1W3VPWRMFN3T2YR734EBL4C7C4,Y4TNCRTG23BG3HJXB7B8R5QJEM
ZHOHOJJOMLXRYBGKCW9PYDWDNM,1477FY5LJQ4JVOR5B1VRZB1D7M
ZHOHOJJOMLXRYBGKCW9PYDWDNM,FN4O7EN2YRBOZ112M6H165EZDM
ZHOHOJJOMLXRYBGKCW9PYDWDNM,FMDHGVNQOCDM5BC4Q6GEHEJO78
ZHOHOJJOMLXRYBGKCW9PYDWDNM,B2H5TD13L2677FQTW25OR123CY
ZHOHOJJOMLXRYBGKCW9PYDWDNM,Y35O92TFDCLHG5Q3NOF3X5QBMQ
ZHOHOJJOMLXRYBGKCW9PYDWDNM,5RVHSH9TDCDGKEJXZGZCKZ3VS8
ZHOHOJJOMLXRYBGKCW9PYDWDNM,FGTPWVVPKOCX3L5HSZDR3T69QE
ZHOHOJJOMLXRYBGKCW9PYDWDNM,2OQVKY1JY22PV7HNTGX79HJZWE
ZHOHOJJOMLXRYBGKCW9PYDWDNM,3R4LY2EHXBZXPC6YY9ECRPWZ7O
ZHOHOJJOMLXRYBGKCW9PYDWDNM,W6D2K4TCCFNYHKQW4CSSZFOH5O
ZHOHOJJOMLXRYBGKCW9PYDWDNM,VWNPMBP5LT56KSGK5GRY9E4OO1
ZHOHOJJOMLXRYBGKCW9PYDWDNM,6XXCP8HSZM8ZL8Y3KOGBZBZKGQ
ZHOHOJJOMLXRYBGKCW9PYDWDNM,JRGHRWKZQZTJRD1X7XBZNV7GN1
ZHOHOJJOMLXRYBGKCW9PYDWDNM,CQ8E55RT73SMJ1EG4F3YX1KTCQ
ZHOHOJJOMLXRYBGKCW9PYDWDNM,L2Y5B7H5PTO1KF9H869OVWDW6M
ZHOHOJJOMLXRYBGKCW9PYDWDNM,DYPYNBEV8Z63JXJTQO1DJT53C8
ZHOHOJJOMLXRYBGKCW9PYDWDNM,45W83L36QMVJG2617GB5JT8YCO
ZHOHOJJOMLXRYBGKCW9PYDWDNM,7SKOYQ4OXQY9QBOFTKGW6PSK1Q
ZHOHOJJOMLXRYBGKCW9PYDWDNM,LYKDKDE311ZTDXV271KVYX4VQQ
ZHOHOJJOMLXRYBGKCW9PYDWDNM,K4G7RTSKFNL56FSES3ONJQS9RM
NVTZGTCXPB4NPRHZWHE1252HS1,78476YMOOYPJKMRV8GBNZFYQRY
NVTZGTCXPB4NPRHZWHE1252HS1,OE38EY1Q9ZQD2B8PDT9G971X14
XZTS43YGPTXHQ4HCQ82YPZEMMQ,S7D5FRWOY72LY83BJX2VLCT9B1
XZTS43YGPTXHQ4HCQ82YPZEMMQ,QCZBXW8O7X9PQ8OM5YC4SZM164
XZTS43YGPTXHQ4HCQ82YPZEMMQ,LXJG3H194JNNGTCBPOC4MJ5VN1
XZTS43YGPTXHQ4HCQ82YPZEMMQ,XFT5N8Y364ZEMDLCJGXPNMMPEQ
XZTS43YGPTXHQ4HCQ82YPZEMMQ,JJ6HBPTTCBCKSE4LJ355JKMZYE
XZTS43YGPTXHQ4HCQ82YPZEMMQ,XYEY1V6XE4VGXS37NQWDV9FN5Q
XZTS43YGPTXHQ4HCQ82YPZEMMQ,PBOB77EW64W3OVLXLOG2FV25MM
XZTS43YGPTXHQ4HCQ82YPZEMMQ,WEDCOEGO3KED7DYGS9JL1FBV94
XZTS43YGPTXHQ4HCQ82YPZEMMQ,YHW5BEY1DHZ8S9CXZL4PSN31XO
XZTS43YGPTXHQ4HCQ82YPZEMMQ,C1VP26B556TWVWMWYHK8WR4KJY
XZTS43YGPTXHQ4HCQ82YPZEMMQ,RM9YBP624112RWCLVHN5WNNQ1Y
XZTS43YGPTXHQ4HCQ82YPZEMMQ,6GFQ1841T2KG437ZD74VLQ9P38
XZTS43YGPTXHQ4HCQ82YPZEMMQ,ECCHG2CBSPTZRGD7F91ESPFJP1
XZTS43YGPTXHQ4HCQ82YPZEMMQ,27QYDSYVL61Q4RPQF1JYER56R4
XZTS43YGPTXHQ4HCQ82YPZEMMQ,YXL9HV368W9VYGNM4DZGEQVNZ1
XZTS43YGPTXHQ4HCQ82YPZEMMQ,DTB92E9G8255N5NFG1VSC74NYY
XZTS43YGPTXHQ4HCQ82YPZEMMQ,P4KNKL77EPBD9QFEJLE4Z2VK58
XZTS43YGPTXHQ4HCQ82YPZEMMQ,SZY3RDWC6CGQQC722CX6LDTZCO
XZTS43YGPTXHQ4HCQ82YPZEMMQ,MM6LLDVR7CEMYZ2SOQKDSW2HHE
XZTS43YGPTXHQ4HCQ82YPZEMMQ,P6W78T2NLRGVLHS2N842EH4E3M
